name,localName,sku,barcode,brand,category,subcategory,unit,purchasePrice,costPrice,retailPrice,wholesalePrice,openingStock,stockAlertQty,commissionPct,status,condition,description
50 RAW CLASSIC WIDE ROLLING PAPERS,,VAP-ROLPAP-CLAS-743,,CLASSIC RAW,VAPES,ROLLING PAPERS,Pieces,0.47,0.47,0.94,,25.,,,Active,New,
24 RAW CLASSIC CONNOISSEUR KING SIZE SLIM ROLLING PAPERS + PRE-ROLLED TIPS,,VAP-ROLPAP-CLAS-742,,CLASSIC RAW,VAPES,ROLLING PAPERS,Pieces,1.70,1.70,3.40,,11.,,,Active,New,
VENTEV INTERNATINOL ADAPTER,,ACC-CABLE-VENT-91,,VENTEV,ACCESSORIES,CHARGING / DATA CABLES,Pieces,10.00,10.00,19.50,,3.0,,,Active,New,
0MG PIXIE JUICE VOLUME 2 100ML SHORTFILL (70VG/30PG) - FUJI APPLE &AMP; STRAWBERRY,,VAP-JUICE-PIXI-949,,PIXIE JUICE,VAPES,JUICE,Pieces,6.19,6.19,12.38,,1.0,,,Active,New,
KINGSTON 16GB SD CARD,,ROM-SDCARD-KING-465,,KINGSTON,ROM,SD CARD,Pieces,4.00,4.00,9.50,,3.0,,,Active,New,
CORSAIR RM850Z,,REP-PBANK-CORS-222,,CORSAIR,REPLACEMENT / REPAIR PARTS,PC POWER SUPPLY,Pieces,80.00,80.00,120.00,,1.0,,,Active,New,
CORSAIR  CM SERIES CX750,,REP-PBANK-CORS-221,,CORSAIR,REPLACEMENT / REPAIR PARTS,PC POWER SUPPLY,Pieces,40.00,40.00,80.00,,0.0,,,Active,New,
ALIEN PUFF 1.25 SIZE MIXED FRUIT FLAVOUR ROLLING PAPERS 20 BOOKLETS (HP7901),,VAP-ROLPAP-ALIE-732,,ALIEN PUFF,VAPES,ROLLING PAPERS,Pieces,0.73,0.73,1.46,,20.,,,Active,New,
24 ALIEN PUFF BLACK &AMP; GOLD KING SIZE $100 NOTE ROLLING PAPERS ( HP176AP ),,VAP-ROLPAP-ALIE-729,,ALIEN PUFF,VAPES,ROLLING PAPERS,Pieces,1.53,1.53,3.06,,11.,,,Active,New,
ALIEN PUFF 1.25 SIZE LUMINOUS GLOW IN THE DARK ROLLING PAPERS 24 BOOKLETS (HP2110),,VAP-ROLPAP-ALIE-731,,ALIEN PUFF,VAPES,ROLLING PAPERS,Pieces,0.45,0.45,0.90,,24.,,,Active,New,
ALIEN PUFF 1 1/4 SIZE BLACK ROLLING PAPERS 25 BOOKLETS (HP2125),,VAP-ROLPAP-ALIE-730,,ALIEN PUFF,VAPES,ROLLING PAPERS,Pieces,0.61,0.61,1.22,,25.,,,Active,New,
SONY HEADPHONES,,SOU-HEADPH-SONY-715,,SONY,SOUNDS,HEADPHONE,Pieces,110.00,110.00,159.00,,0.0,,,Active,New,
ADATA 32GB USB FLASH DRIVE,,ROM-USB-ADAT-463,,ADATA,ROM,USB,Pieces,6.00,6.00,12.00,,1.0,,,Active,New,
ADATA 64GB USB FLASH DRIVE,,ROM-USB-ADAT-464,,ADATA,ROM,USB,Pieces,6.00,6.00,15.00,,1.0,,,Active,New,
10MG MARYLIQ NIC SALT BY LOST MARY 10ML (50VG/50PG) - STOPTOBER SPECIAL OFFER!  CHERRY ICE,,VAP-SALT-MARY-933,,MARYLIQ,VAPES,NIC SALT,Pieces,0.94,0.94,1.88,,7.0,,,Active,New,
10MG MARYLIQ NIC SALT BY LOST MARY 10ML (50VG/50PG) - STOPTOBER SPECIAL OFFER!  PEACH ICE,,VAP-SALT-MARY-934,,MARYLIQ,VAPES,NIC SALT,Pieces,0.94,0.94,1.88,,5.0,,,Active,New,
10MG MARYLIQ NIC SALT BY LOST MARY 10ML (50VG/50PG) - STOPTOBER SPECIAL OFFER!  PINEAPPLE MANGO,,VAP-SALT-MARY-935,,MARYLIQ,VAPES,NIC SALT,Pieces,0.94,0.94,1.18,,2.0,,,Active,New,
ANG HDMI CABLE 1.5,,ACC-CABLE-ANG-6,,ANG,ACCESSORIES,CHARGING / DATA CABLES,Pieces,3.00,3.00,8.50,,0.0,,,Active,New,
20MG RIOT SQUAD BAR EDTN 10ML NIC SALTS (50VG/50PG) - TROPICAL PUNCH,,VAP-SALT-RIOT-974,,RIOT,VAPES,NIC SALT,Pieces,1.53,1.53,3.06,,5.0,,,Active,New,
20MG RIOT SQUAD BAR EDTN 10ML NIC SALTS (50VG/50PG) - PINEAPPLE ICE,,VAP-SALT-RIOT-973,,RIOT,VAPES,NIC SALT,Pieces,1.53,1.53,3.06,,5.0,,,Active,New,
20MG RIOT SQUAD BAR EDTN 10ML NIC SALTS (50VG/50PG) - BANANA KIWI ICE,,VAP-SALT-RIOT-971,,RIOT,VAPES,NIC SALT,Pieces,1.53,1.53,3.06,,5.0,,,Active,New,
20MG RIOT SQUAD BAR EDTN 10ML NIC SALTS (50VG/50PG) - WATERMELON ICE,,VAP-SALT-RIOT-975,,RIOT,VAPES,NIC SALT,Pieces,1.53,1.53,3.06,,5.0,,,Active,New,
20MG RIOT SQUAD BAR EDTN 10ML NIC SALTS (50VG/50PG) - GRAPE ICE,,VAP-SALT-RIOT-972,,RIOT,VAPES,NIC SALT,Pieces,1.53,1.53,3.06,,5.0,,,Active,New,
CORE USB TO LIGHTINING CABLE 1M,,ACC-CABLE-CORE-32,,CORE,ACCESSORIES,CHARGING / DATA CABLES,Pieces,0.00,0.00,0.00,,0.0,,,Active,New,
CORE USB TO TYPE CABLE 1M,,ACC-CABLE-CORE-33,,CORE,ACCESSORIES,CHARGING / DATA CABLES,Pieces,0.00,0.00,5.00,,5.0,,,Active,New,
DISPLY IP 6 BLAC,,REP-SCR-NON-427,,NON-BRANDED,REPLACEMENT / REPAIR PARTS,SCREEN,Pieces,7.00,7.00,0.00,,1.0,,,Active,New,
DISPLY IP 6 WHITE,,REP-SCR-NON-428,,NON-BRANDED,REPLACEMENT / REPAIR PARTS,SCREEN,Pieces,7.00,7.00,0.00,,1.0,,,Active,New,
DISPLY IP 6 PLUS BLACK,,REP-SCR-DISP-223,,DISPLY,REPLACEMENT / REPAIR PARTS,SCREEN,Pieces,7.00,7.00,0.00,,1.0,,,Active,New,
DISPLY IP 6 PLUS WHITE,,REP-SCR-DISP-224,,DISPLY,REPLACEMENT / REPAIR PARTS,SCREEN,Pieces,7.00,7.00,0.00,,1.0,,,Active,New,
DISPLY IP 8 PLUS BLACK,,REP-SCR-NON-429,,NON-BRANDED,REPLACEMENT / REPAIR PARTS,SCREEN,Pieces,8.00,8.00,0.00,,2.0,,,Active,New,
11MG POD SALT CORE 10ML NIC SALTS (50VG/50PG) - CHERRY ICE,,VAP-SALT-POD -952,,POD SALT,VAPES,NIC SALT,Pieces,1.53,1.53,3.06,,2.0,,,Active,New,
11MG POD SALT CORE 10ML NIC SALTS (50VG/50PG) - BLUE ICE,,VAP-SALT-POD -951,,POD SALT,VAPES,NIC SALT,Pieces,1.53,1.53,3.06,,2.0,,,Active,New,
11MG POD SALT CORE 10ML NIC SALTS (50VG/50PG) - ICE MENTHOL,,VAP-SALT-POD -954,,POD SALT,VAPES,NIC SALT,Pieces,1.53,1.53,3.06,,4.0,,,Active,New,
11MG POD SALT CORE 10ML NIC SALTS (50VG/50PG) - MANGO ICE,,VAP-SALT-POD -955,,POD SALT,VAPES,NIC SALT,Pieces,1.53,1.53,3.06,,2.0,,,Active,New,
11MG POD SALT CORE 10ML NIC SALTS (50VG/50PG) - BANANA ICE,,VAP-SALT-POD -950,,POD SALT,VAPES,NIC SALT,Pieces,1.53,1.53,3.06,,2.0,,,Active,New,
DISPLY IP X,,REP-SCR-NON-431,,NON-BRANDED,REPLACEMENT / REPAIR PARTS,SCREEN,Pieces,11.00,11.00,0.00,,1.0,,,Active,New,
DISPLY IP XS,,REP-SCR-NON-432,,NON-BRANDED,REPLACEMENT / REPAIR PARTS,SCREEN,Pieces,12.00,12.00,0.00,,1.0,,,Active,New,
11MG POD SALT CORE 10ML NIC SALTS (50VG/50PG) - GRAPE ICE,,VAP-SALT-POD -953,,POD SALT,VAPES,NIC SALT,Pieces,1.53,1.53,3.06,,2.0,,,Active,New,
11MG POD SALT CORE 10ML NIC SALTS (50VG/50PG) - PINEAPPLE ICE,,VAP-SALT-POD -957,,POD SALT,VAPES,NIC SALT,Pieces,1.53,1.53,3.06,,2.0,,,Active,New,
11MG POD SALT CORE 10ML NIC SALTS (50VG/50PG) - PEACH ICE,,VAP-SALT-POD -956,,POD SALT,VAPES,NIC SALT,Pieces,1.53,1.53,3.06,,2.0,,,Active,New,
12MG MUSE NICOTINE POUCHES (UK MADE) - 20 POUCHES - COOL MINT,,NIC-POUCH-MUSE-213,,MUSE,NICOTINE,NICOTINE POUCHES,Pieces,2.36,2.36,4.72,,2.0,,,Active,New,
